Time (ns), Amplitude
0.0, 4.572421e-05
0.5, 3.340650e-05
1.0, 1.908527e-05
1.5, 5.519599e-06
2.0, -2.751740e-06
2.5, -1.198041e-06
3.0, 1.192628e-05
3.5, 3.414460e-05
4.0, 5.914152e-05
4.5, 7.877178e-05
5.0, 8.654485e-05
5.5, 8.071505e-05
6.0, 6.530465e-05
6.5, 4.815667e-05
7.0, 3.775189e-05
7.5, 3.874093e-05
8.0, 4.935590e-05
8.5, 6.210632e-05
9.0, 6.752744e-05
9.5, 5.899814e-05
10.0, 3.669515e-05
10.5, 7.957088e-06
11.0, -1.575817e-05
11.5, -2.365811e-05
12.0, -1.056205e-05
12.5, 2.123632e-05
13.0, 6.319767e-05
13.5, 1.037219e-04
14.0, 1.320454e-04
14.5, 1.412477e-04
15.0, 1.295956e-04
15.5, 1.003976e-04
16.0, 6.101112e-05
16.5, 2.126346e-05
17.0, -8.743626e-06
17.5, -2.150985e-05
18.0, -1.425391e-05
18.5, 9.970586e-06
19.0, 4.286129e-05
19.5, 7.427095e-05
20.0, 9.547777e-05
20.5, 1.020325e-04
21.0, 9.468484e-05
21.5, 7.766502e-05
22.0, 5.597763e-05
22.5, 3.334168e-05
23.0, 1.138658e-05
23.5, -9.950645e-06
24.0, -3.154934e-05
24.5, -5.381048e-05
25.0, -7.700575e-05
25.5, -1.017816e-04
26.0, -1.306211e-04
26.5, -1.652453e-04
27.0, -2.074398e-04
27.5, -2.579928e-04
28.0, -3.201241e-04
28.5, -3.922740e-04
29.0, -4.718548e-04
29.5, -5.523747e-04
30.0, -6.332744e-04
30.5, -6.854530e-04
31.0, -6.701604e-04
31.5, -5.504488e-04
32.0, -3.357352e-04
32.5, -8.303758e-06
33.0, 4.030389e-04
33.5, 7.886405e-04
34.0, 9.478412e-04
34.5, 8.216886e-04
35.0, 4.080966e-04
35.5, -2.811705e-04
36.0, -1.199099e-03
36.5, -2.156493e-03
37.0, -3.079069e-03
37.5, -4.184807e-03
38.0, -5.935346e-03
38.5, -8.933566e-03
39.0, -1.389120e-02
39.5, -2.157625e-02
40.0, -3.268917e-02
40.5, -4.801780e-02
41.0, -6.878245e-02
41.5, -9.704218e-02
42.0, -1.357766e-01
42.5, -1.886341e-01
43.0, -2.590879e-01
43.5, -3.490297e-01
44.0, -4.573628e-01
44.5, -5.789115e-01
45.0, -7.043533e-01
45.5, -8.210672e-01
46.0, -9.159143e-01
46.5, -9.777129e-01
47.0, -9.999648e-01
47.5, -9.819654e-01
48.0, -9.297558e-01
48.5, -8.538174e-01
49.0, -7.667659e-01
49.5, -6.802702e-01
50.0, -6.033982e-01
